timestamp,cpu_usage,ram_usage,disk_usage,disk_read_speed,disk_write_speed,network_upload_speed,network_download_speed,process_count,system_load,system_uptime,isolation_forest_result,reconstruction_error
2026-05-26 22:23:59.379487,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:05.632567,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:11.861726,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:18.039788,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:24.298377,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:30.525392,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:36.747645,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:42.961523,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:49.146978,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:24:55.310667,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:01.508910,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:07.704469,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:13.919000,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:20.078510,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:26.207348,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:32.435872,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:38.669867,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:44.844606,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:51.081635,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:25:57.216423,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:26:03.446719,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:26:09.690148,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:26:15.956330,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:30:38.532154,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:30:44.779542,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:30:51.033263,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:30:57.241804,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:03.459706,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:09.698379,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:15.937437,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:22.159986,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:28.364227,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:34.640293,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:40.826451,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:47.031356,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:53.255897,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:31:59.502412,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:05.747848,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
